"condition","title","phase","sponsor","sponsor_class"
"Schizophrenia","A Randomized, Double-blind, Placebo Controlled, Sponsor Open, Parallel Group Phase 1b Study To Examine The Safety, Tolerability And Pharmacokinetics Of Multiple Ascending Doses Of Pf-04958242 In Subjects With Stable Schizophrenia","PHASE1","Biogen","INDUSTRY"
"Schizophrenia","An Open-label, Prospective, Non-Comparative Study to Evaluate Subjective Well-Being and Responses in Patients With Schizophrenia Who Had Switched to Paliperidone Extended-Release Tablets","PHASE4","Janssen Korea, Ltd., Korea","INDUSTRY"
"Schizophrenia","Psychological Intervention for Persons at Risk of Psychosis in the Early Initial Prodromal State","PHASE3","University of Cologne","OTHER"
"Schizophrenia","A Phase 3 Randomized, Double-Blind, Active Comparator-Controlled Clinical Trial to Study the Safety and Efficacy of Lurasidone in Subjects With Schizophrenia (PEARL 3 Extension Study)","PHASE3","Sumitomo Pharma America, Inc.","INDUSTRY"
"Schizophrenia","An Open Label, Long Term Trial of Risperidone Long Acting Microspheres in the Treatment of Patients Diagnosed With Schizophrenia","PHASE3","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","INDUSTRY"
"Schizophrenia","An Open-Label Trial of Adjunctive Galantamine Maintenance Therapy to Treat Functional Impairments in Chronic Outpatients With Schizophrenia","PHASE4","Seattle Institute for Biomedical and Clinical Research","OTHER"
"Schizophrenia","Evaluation of Efficacy and Safety of Paliperidone Among People With Schizophrenia in Bangladesh","PHASE4","Sher-E-Bangla Medical College","OTHER"
"Schizophrenia","Phase 3, Randomized, 28 Days, Double-blind, Placebo-controlled, Multicenter Study to Assess the Safety and Efficacy of Brilaroxazine (RP5063) in Subjects With Schizophrenia, Followed by a 52-Week Open-label Extension","PHASE3","Reviva Pharmaceuticals","INDUSTRY"
"Schizophrenia","Oxytocin as Adjunctive Treatment of Schizophrenia","PHASE2","Emory University","OTHER"
"Schizophrenia","A Multicenter, Uncontrolled, Open-label Trial to Investigate the Long-term Tolerability, Safety, and Efficacy of Brexpiprazole Once-weekly (QW) Formulation Administered Once Weekly for 52 Weeks in Patients With Schizophrenia","PHASE3","Otsuka Pharmaceutical Co., Ltd.","INDUSTRY"
"Schizophrenia","A Pilot Study to Determine if Pantoprazole Modifies Steady-State Plasma Concentrations of Orally Administered Psychotropic Medications","PHASE4","University of British Columbia","OTHER"
"Schizophrenia","A 3 Weeks Open Label Study to Evaluate the Efficacy in Agitation and Safety of Quetiapine Fumarate XR in Treatment of Patients With Acute Schizophrenia","PHASE4","AstraZeneca","INDUSTRY"
"Schizophrenia","Cannabidiol Treatment in Patients With Early Psychosis","PHASE2","Yale University","OTHER"
"Anxiety","Determination of ED50 and ED95 With Clinical Efficacy of Intranasal Dexmedetomidine Combined With Esketamine for Preoperative Sedation in Pediatric General Anesthesia","PHASE4","Second Affiliated Hospital of Wenzhou Medical University","OTHER"
"Anxiety","Psycho-biological Substrates of Therapeutic Benefit of Thermal Cure on Generalized Anxiety Disorders (Insula-TOP)","PHASE4","Centre Hospitalier Henri Laborit","OTHER"
"Anxiety","A Double-Blind, Placebo-Controlled, Single Center Study to Evaluate the Efficacy and Safety of Inhaled NC-107 As Compared to Placebo After 4 Weeks of Treatment in Patients with Anxiety","EARLY_PHASE1","Trinity Hypertension & Metabolic Research Institute","OTHER"
"Anxiety","Combination of Paroxetine CR and Quetiapine for the Treatment of Refractory Generalized Anxiety Disorder","PHASE4","Massachusetts General Hospital","OTHER"
"Anxiety","Double Blind Placebo Controlled Parallel Group Comparison of Atomoxetine (Strattera) for Generalized Social Anxiety Disorder (GSAD)","PHASE2","University of California, San Diego","OTHER"
"Anxiety","Characterization of Comorbid Post-traumatic Stress Disorder and Major Depressive Disorder Utilizing Ketamine as an Experimental Medicine Probe","PHASE1","University of Minnesota","OTHER"
"Anxiety","A Long-Term, Open Label, Safety and Efficacy Study of an Experimental Medication in Adults With Generalized Anxiety Disorder (GAD)","PHASE3","Jazz Pharmaceuticals","INDUSTRY"
"Anxiety","A Double Blind, Randomized, Placebo Controlled, Multicenter Study Examining the Efficacy and Safety of SEP-225441 in Subjects With Generalized Anxiety Disorder.","PHASE2","Sumitomo Pharma America, Inc.","INDUSTRY"
"Anxiety","The Use of Acamprosate in Individuals With Alcohol Dependence and Comorbid Anxiety or Depression","PHASE4","Medical University of South Carolina","OTHER"
"Anxiety","Long-term Follow-up of Glutamic Acid Decarboxylase Gene Transfer to the Subthalamic Nuclei in Participants With Parkinson's Disease","PHASE1","MeiraGTx, LLC","INDUSTRY"
"Anxiety","Diagnostic Testing of Post-Traumatic Stress Disorder (PTSD) Using the Senseye Diagnostic Tool in Adults : United States, Australia, and Decentralized Trial (DCT) Protocol","PHASE3","Senseye, Inc.","INDUSTRY"
"Anxiety","Sertraline in the Treatment of Generalized Social Phobia With Comorbidity","PHASE4","Hamilton Health Sciences Corporation","OTHER"
"Anxiety","A Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study of the Efficacy and Safety of Sustained-Release Quetiapine Fumarate (SEROQUEL®) Compared With Placebo in the Treatment of Generalized Anxiety Disorder","PHASE3","AstraZeneca","INDUSTRY"
"Anxiety","A Multicenter, Randomized, Open-label, Parallel Design Trial to Compare Time to Response in the Symptoms of Anxiety to Concomitant Treatment With Niravam™ and an SSRI or SNRI to Treatment With an SSRI or SNRI Alone in Subjects With Generalized Anxiety Disorder or Panic Disorder","PHASE4","UCB Pharma","INDUSTRY"
"Anxiety","A Phase III, 3-Arm, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Investigate the Impact of Diamyd on the Progression of Diabetes in Patients Newly Diagnosed With Type 1 Diabetes Mellitus (EU)","PHASE3","Diamyd Therapeutics AB","INDUSTRY"
"Anxiety","A Double-Blind, Placebo-Controlled, Flexible-Dose Study of Vilazadone in Patients With Generalized Anxiety Disorder","PHASE3","Forest Laboratories","INDUSTRY"
"Anxiety","Generalized Anxiety Disorder (GAD): A First-in-Human Single Ascending Dose and Food Effect Study of ABBV-932 in Healthy Adult Subjects","PHASE1","AbbVie","INDUSTRY"
"Anxiety","Coordinated Anxiety Learning and Management (CALM): Improving Primary Care Anxiety Outcomes","PHASE4","University of Washington","OTHER"
"Anxiety","NO TITLE","PHASE4","University of California, Los Angeles","OTHER"
"Anxiety","A Multicenter, Randomized, Double-blind, Placebo-controlled, Dose-finding, Pilot Study to Assess the Efficacy and Safety of CD-008-0045 in Patients With Generalized Anxiety Disorder","PHASE2","ChemRar Research and Development Institute, LLC","INDUSTRY"
"Anxiety","A Randomized, Controlled Trial of Modular CBT for Child Anxiety Disorders in Elementary School Settings","PHASE2","University of California, Los Angeles","OTHER"
"Anxiety","A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled, Fixed-Dose Study Comparing the Efficacy and Safety of a Single Dose of Lu AA21004 in Acute Treatment of Adults With Generalized Anxiety Disorder","PHASE3","Takeda","INDUSTRY"
"Anxiety","Efficacy, Safety and Tolerability of XBD173 in Patients With Generalized Anxiety Disorder","PHASE2","Novartis Pharmaceuticals","INDUSTRY"
"Anxiety","Pharmacogenetics in Primary Care Psychotropics","PHASE3","University of Arizona","OTHER"
"Anxiety","A Phase 1, Open-Label, Randomized, Cross-Over Study To Estimate The Pharmacokinetics Of PD 0332334 And Metformin When Administered Concurrently In Healthy Subjects","PHASE1","Pfizer","INDUSTRY"
"Anxiety","Efficacy and Safety of Repeated Intravenous Subanesthetic Ketamine Infusions Among Veterans With Treatment Resistant Depression Comorbid With Chronic Post-Traumatic Stress Disorder: A Proof-of-concept Study","PHASE1","Minneapolis Veterans Affairs Medical Center","FED"
"Anxiety","An Eight-Week, Multicenter, Randomized, Double-blind, Placebo-controlled Study, With Escitalopram as an Active Control, to Evaluate the Efficacy, Safety and Tolerability of a Saredutant 100 mg Dose Once Daily, in Patients With Generalized Anxiety Disorder","PHASE3","Sanofi","INDUSTRY"
"Anxiety","KAVA KAVA in Generalized Anxiety: A Double-Blind Trial","PHASE2","National Center for Complementary and Integrative Health (NCCIH)","NIH"
"Anxiety","Duloxetine Hydrochloride Once Daily Compared With Placebo in the Treatment of Generalized Anxiety Disorder","PHASE3","Eli Lilly and Company","INDUSTRY"
"Anxiety","An 8-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled, Flexible Dose Study Of Pregabalin (300-600 Mg/Day) And Venlafaxine XR (75-225 Mg/Day) For The Acute Treatment Of DSM-IV Generalized Anxiety Disorder In Outpatients","PHASE3","Pfizer's Upjohn has merged with Mylan to form Viatris Inc.","INDUSTRY"
"Anxiety","A Double-Blind, Placebo Controlled Trial of an Experimental Medication For the Treatment of Generalized Anxiety Disorder","PHASE3","Jazz Pharmaceuticals","INDUSTRY"
"Anxiety","A 10-Week, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Flexible-Dosage Study to Evaluate the Efficacy and Safety of Gabitril(up to 16 mg/Day) in the Treatment of Adults With Generalized Anxiety Disorder","PHASE3","Cephalon","INDUSTRY"
"Anxiety","A Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled, Active-Controlled Study of the Efficacy and Safety of Sustained-Release Quetiapine Fumarate (SEROQUEL®) Compared With Placebo in the Treatment of Generalized Anxiety Disorder","PHASE3","AstraZeneca","INDUSTRY"
